City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,description
78,Akyab,20.15,92.9,82.72,84,58,12.01,MM,broken clouds
79,Elva,58.2225,26.4211,74.05,40,75,9.22,EE,broken clouds
80,Caborca,30.5838,-111.101,80.56,48,100,5.44,MX,overcast clouds
81,Belyy Yar,53.6039,91.3903,71.49,83,100,2.24,RU,overcast clouds
82,Ouadda,8.0777,22.4007,76.53,89,68,4.9,CF,moderate rain
83,Bilma,18.6853,12.9164,104.61,21,27,10.71,NE,scattered clouds
84,Andros Town,24.7,-77.7667,89.56,59,99,7.11,BS,overcast clouds
85,Borazjan,29.2666,51.2159,97.93,21,8,3.2,IR,clear sky
86,Karakol,42.4907,78.3936,66.96,38,0,4.94,KG,clear sky
87,Esperance,-33.8667,121.9,53.2,74,16,17.9,AU,few clouds
88,Richards Bay,-28.783,32.0377,59.63,66,15,9.13,ZA,few clouds
89,Mount Isa,-20.7333,139.5,49.77,53,79,0.0,AU,broken clouds
90,Kankan,10.3854,-9.3057,78.51,82,93,9.26,GN,light rain
91,Laguna,38.421,-121.4238,80.46,63,1,4.0,US,clear sky
92,Salvador,13.8333,-88.9167,83.05,65,91,3.13,SV,overcast clouds
93,Jiangyou,31.7667,104.7167,75.76,93,6,3.6,CN,heavy intensity rain
94,Sao Joao Da Barra,-21.6403,-41.0511,75.29,61,37,10.11,BR,scattered clouds
95,Touros,-5.1989,-35.4608,86.9,52,8,20.18,BR,clear sky
96,Pangai,-19.8,-174.35,78.1,81,0,8.12,TO,light rain
97,Conde,-7.2597,-34.9075,81.86,65,40,17.27,BR,scattered clouds
98,Ribeira Grande,38.5167,-28.7,77.4,73,40,13.8,PT,scattered clouds
99,Paamiut,61.994,-49.6678,41.81,98,100,3.42,GL,overcast clouds
100,Espanola,35.9911,-106.0806,76.08,65,9,1.3,US,clear sky
101,Butaritari,3.0707,172.7902,83.52,71,0,15.82,KI,clear sky
102,Thompson,55.7435,-97.8558,62.76,77,90,11.5,CA,overcast clouds
103,Mackay,-21.15,149.2,65.05,51,0,6.53,AU,clear sky
104,Rincon,32.296,-81.2354,86.22,71,40,4.61,US,haze
105,Oranjestad,12.524,-70.027,80.74,87,17,20.0,AW,few clouds
106,General Nakar,14.7631,121.635,80.98,86,100,15.55,PH,overcast clouds
107,Auki,-8.7676,160.7034,77.4,86,68,4.05,SB,broken clouds
108,Dubbo,-32.25,148.6167,50.13,76,75,18.41,AU,broken clouds
109,Ambilobe,-13.2,49.05,72.57,65,90,2.71,MG,light rain
110,Corbelia,-24.7989,-53.3067,71.85,41,0,11.16,BR,clear sky
111,Komsomolskiy,40.4272,71.7189,95.72,23,0,2.3,UZ,clear sky
112,Lasa,46.6166,10.7002,82.31,70,93,6.91,IT,overcast clouds
113,Julio De Castilhos,-29.2269,-53.6817,75.58,54,0,12.66,BR,clear sky
114,Tommot,58.9564,126.2925,60.39,98,100,4.56,RU,light rain
115,Kununurra,-15.7667,128.7333,66.18,68,100,0.0,AU,overcast clouds
116,San Andres,12.5847,-81.7006,84.22,79,75,17.27,CO,broken clouds
117,Beringovskiy,63.05,179.3167,50.34,91,100,8.66,RU,overcast clouds
118,Mezen,65.8522,44.24,45.37,93,100,10.89,RU,overcast clouds
119,Katsuura,35.1333,140.3,82.11,83,0,5.97,JP,clear sky
120,Sitka,57.0531,-135.33,55.29,88,90,3.44,US,light rain
121,Gazanjyk,39.2446,55.5154,102.0,26,0,14.23,TM,clear sky
122,Tonshayevo,57.736,47.0127,61.97,39,54,7.14,RU,broken clouds
123,Hilo,19.7297,-155.09,74.8,94,90,3.44,US,light rain
124,Narrabri,-30.3167,149.7833,49.51,80,91,1.01,AU,overcast clouds
125,Cidreira,-30.1811,-50.2056,70.47,49,0,2.44,BR,clear sky
126,Opoczno,51.3757,20.2783,80.71,55,85,6.11,PL,overcast clouds
127,Port Alfred,-33.5906,26.891,59.58,66,0,21.54,ZA,clear sky
128,Arraial Do Cabo,-22.9661,-42.0278,78.76,53,0,13.8,BR,clear sky
129,Fairbanks,64.8378,-147.7164,62.1,95,90,5.75,US,moderate rain
130,Sadri,25.1833,73.4333,85.68,69,100,11.92,IN,overcast clouds
131,Kamenka,51.3223,42.7678,72.73,47,58,5.46,RU,light rain
132,Porbandar,21.6422,69.6093,82.87,85,89,17.0,IN,overcast clouds
133,Iralaya,15.0,-83.2333,84.29,74,100,11.95,HN,overcast clouds
134,Mount Gambier,-37.8333,140.7667,40.91,87,75,17.27,AU,light intensity shower rain
135,Amga,60.8953,131.9608,59.79,98,100,9.8,RU,heavy intensity rain
136,Amazar,53.858,120.875,56.35,98,94,3.91,RU,overcast clouds
137,Qasigiannguit,68.8193,-51.1922,44.85,94,85,8.93,GL,overcast clouds
138,Leh,34.1667,77.5833,75.52,30,63,5.93,IN,broken clouds
139,Roald,62.5833,6.1333,79.11,88,75,6.91,NO,broken clouds
140,Ledyard,41.4398,-72.0142,79.68,65,1,3.0,US,clear sky
141,Port Lincoln,-34.7333,135.8667,51.19,65,72,26.91,AU,broken clouds
142,Necochea,-38.5473,-58.7368,53.04,52,85,15.86,AR,overcast clouds
143,Ouallam,14.3188,2.0866,87.87,52,100,14.32,NE,overcast clouds
144,Pavino,59.1139,46.1414,59.67,42,100,7.07,RU,overcast clouds
145,Cockburn Town,21.4612,-71.1419,82.15,78,2,13.82,TC,clear sky
146,San Cristobal,7.7669,-72.225,80.78,56,100,5.28,VE,overcast clouds
147,Gusinoye Ozero,51.1144,106.2614,60.87,65,77,6.31,RU,broken clouds
148,Zapolyarnyy,69.4154,30.8136,52.88,87,100,23.38,RU,overcast clouds
149,Dikson,73.5069,80.5464,37.85,97,100,27.16,RU,overcast clouds
150,Gamba,-2.65,10.0,75.34,68,22,11.27,GA,few clouds
151,Siuri,23.9167,87.5333,83.05,83,100,7.9,IN,overcast clouds
152,New Norfolk,-42.7826,147.0587,44.92,82,100,2.33,AU,overcast clouds
153,Caravelas,-17.7125,-39.2481,76.96,58,37,11.7,BR,scattered clouds
154,Port Alberni,49.2413,-124.8028,70.14,86,6,3.0,CA,clear sky
155,Cangucu,-31.395,-52.6756,72.61,48,0,6.76,BR,clear sky
156,Lebu,-37.6167,-73.65,51.28,76,17,7.87,CL,few clouds
157,Meadow Lake,34.8014,-106.5436,72.66,65,100,4.74,US,overcast clouds
158,Xinqing,48.2333,129.5,72.43,74,100,3.94,CN,overcast clouds
159,Dryden,49.7833,-92.7503,73.69,49,1,11.5,CA,clear sky
160,Kutum,14.2,24.6667,88.27,34,82,9.46,SD,broken clouds
161,Talnakh,69.4865,88.3972,57.06,66,64,8.61,RU,broken clouds
162,Kruisfontein,-34.0033,24.7314,57.88,43,0,7.67,ZA,clear sky
163,Makakilo City,21.3469,-158.0858,77.32,76,20,4.61,US,few clouds
164,Tasiilaq,65.6145,-37.6368,42.96,97,100,3.04,GL,overcast clouds
165,North Myrtle Beach,33.816,-78.68,86.11,63,1,5.99,US,clear sky
166,San Pedro,14.35,121.0167,80.15,93,100,18.23,PH,overcast clouds
167,Yatou,37.15,122.3833,75.94,80,52,3.96,CN,light rain
168,Raton,36.9034,-104.4391,74.01,57,1,1.01,US,clear sky
169,Sao Filipe,14.8961,-24.4956,74.23,75,78,8.16,CV,broken clouds
170,Timizart,36.8,4.2667,99.5,27,12,7.58,DZ,few clouds
171,Andenes,69.3143,16.1194,58.06,87,90,8.05,NO,overcast clouds
172,Fallon,39.4735,-118.7774,80.46,22,1,0.0,US,haze
